,title,authors,type,year_correct,year_number,collected_by,number_authors
1318,Datenbasis und Bibliothek für ein Programmiersystem für speicherprogrammierbare Steuerungen.,['Maik Köhler'],Publication,True,1992,Fabian,1
1319,Kombinatorisches und Kreatives zum Verhältnis von Mathematik und Bibliothek: Combinatorics and creativity in the relation of mathematics and the library: Ein Nachtrag zum Jahr der Mathematik 2008,['Thomas Hapke'],Publication,True,2009,Fabian,1
1320,"Generation Google in der Bibliothek. Wer den Weg in die Bücherei scheut, kann sie auch im Internet besuchen. Immer mehr Bücher, Musik, Videos sind digital im Netz ausleihbar",['Dirk Asendorpf'],Publication,True,2008,Fabian,1
1321,Zettelwirtschaft. Die Geburt der Kartei aus dem Geiste der Bibliothek,['Markus Krajewski'],Publication,True,2002,Fabian,1
1322,"Katalog der armenischen Handschriften in der
                  Mechitharisten-Bibliothek zu Wien",['Hamazasp Oskian'],Publication,True,1963,Fabian,1
1323,Zettelwirtschaft: Die Geburt der Kartei aus dem Geiste der Bibliothek,['Markus Krajewski'],Publication,True,2002,Fabian,1
1324,Catalog der armenischen Handschriften in der  Mechitharisten-Bibliothek zu Wien,['Jakowbos W. Dashian'],Publication,True,1895,Fabian,1
1326,"Eine Bibliothek von Basisdiensten für Parallelrechner: Routing, Synchronisation, gemeinsamer Speicher",['Alf Wachsmann'],Publication,True,1995,Fabian,1
1327,Die elektronische Bibliothek - Literatur- und Informationsbeschaffung im Internet (2.Aufl.).,['Hans Hehl'],Publication,True,2001,Fabian,1
1328,Die handschriftlichen Jesuiten-Dramen des Collegii Mannheimensis: (Bibliothek Desbillon 1756),['Fritz Droop'],Publication,True,1930,Fabian,1
1329,Modelica-Bibliothek für diffraktive Optik zur Modellierung von optomechatronischen Systemen.,"['Thomas Kaden', 'Klaus Janschek']",Publication,True,2014,Fabian,2
1331,"Auf dem Weg zur Äusgezeichneten Bibliothek"" - effizientes Qualitätsmanagement in Bibliotheken",['Ursula Jaksch'],Publication,True,2014,Fabian,1
1332,Das Internet-basierte Bibliotheksinformationssystem in der Bibliothek der Universität Bielefeld.,['Friedrich Summann'],Publication,True,1998,Fabian,1
1333,Der Fotobestand des Thomas-Mann-Archivs an der ETH-Bibliothek Zürich : Bestandesbeschreibung und Konzeption der Erschliessung und Digitalisierung,['Katrin Keller'],Publication,True,2016,Fabian,1
1334,Catalog der armenischen Handschriften in der Mechitharisten-Bibliothek zu Wien,['Jakowbos W. Tašean'],Publication,True,1895,Fabian,1
1335,"Die Septemberbibel Nikolaus Glockendons (1522 - 1524): (Wolfenbüttel, Herzog-August-Bibliothek)",['Herbert Schneidler'],Publication,True,1979,Fabian,1
1336,Prins-Cyclisierung an fester Phase: kombinatorische Synthese einer Tetrahydropyran-Bibliothek,['Tobias Voigt'],Publication,True,2006,Fabian,1
1337,"Katalogerweiterungen, Mashups und Elemente der „Bibliothek 2.0“ in der Praxis",['Matthias Schulze Ulrich Hahn'],Publication,True,2009,Fabian,1
1338,Aufbau einer Suchmaschine für ein Forschungsinstitut - Aufgabe für die Bibliothek?.,"['Michael Heinz', 'Helmut Voigt']",Publication,True,2000,Fabian,2
1340,"Die Blaue Bibliothek aller Nationen, ein Beitrag zur europäischen Märchentradition",['Jürgen Theuer'],Publication,True,1984,Fabian,1
1341,"Strategien für die Bibliothek als Ort, Festschrift für Petra Hauke","['Konrad Umlauf', 'Klaus Ulrich Werner', 'Andrea Kaufmann']",Publication,True,2016,Fabian,3
1342,"Das Projekt Gö*: Integriertes Informationsmanagement von Universität, Medizin und Bibliothek.","['Matthias Schumann', 'Otto Rienhoff']",Publication,True,2009,Fabian,2
